kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_duration,koi_depth,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,9.48803557,2.775e-05,-2.775e-05,0.146,2.9575,615.8,2.26,0.26,-0.15,793.0,93.59,35.8,1.0,q1_q17_dr25_tce,5455.0,4.467,0.927,291.93423,48.141651,15.347
10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0.969,0,0,0,0,54.4183827,0.0002479,-0.0002479,0.586,4.507,874.8,2.83,0.32,-0.19,443.0,9.11,25.8,2.0,q1_q17_dr25_tce,5455.0,4.467,0.927,291.93423,48.141651,15.347
10811496,K00753.01,,CANDIDATE,CANDIDATE,0.0,0,0,0,0,19.89913995,1.494e-05,-1.494e-05,0.969,1.7822,10829.0,14.6,3.92,-1.31,638.0,39.3,76.3,1.0,q1_q17_dr25_tce,5853.0,4.544,0.868,297.00482,48.134129,15.436
10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,1.736952453,2.63e-07,-2.63e-07,1.276,2.40641,8079.2,33.46,8.5,-2.83,1395.0,891.96,505.6,1.0,q1_q17_dr25_tce,5805.0,4.564,0.791,285.53461,48.28521,15.597
10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.525591777,3.761e-06,-3.761e-06,0.701,1.6545,603.3,2.75,0.88,-0.35,1406.0,926.16,40.9,1.0,q1_q17_dr25_tce,6031.0,4.438,1.046,288.75488,48.2262,15.509
10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,11.09432054,2.036e-05,-2.036e-05,0.538,4.5945,1517.5,3.9,1.27,-0.42,835.0,114.81,66.5,1.0,q1_q17_dr25_tce,6046.0,4.486,0.972,296.28613,48.22467,15.714
10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.13443512,1.046e-05,-1.046e-05,0.762,3.1402,686.0,2.77,0.9,-0.3,1160.0,427.65,40.2,2.0,q1_q17_dr25_tce,6046.0,4.486,0.972,296.28613,48.22467,15.714
10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.992,0,0,0,0,2.56658897,1.781e-05,-1.781e-05,0.755,2.429,226.5,1.59,0.52,-0.17,1360.0,807.74,15.0,3.0,q1_q17_dr25_tce,6046.0,4.486,0.972,296.28613,48.22467,15.714
6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,7.36178958,2.128e-05,-2.128e-05,1.169,5.022,233.7,39.21,6.45,-9.67,1342.0,767.22,47.7,1.0,q1_q17_dr25_tce,6227.0,3.986,1.958,298.86435,42.151569,12.66
10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,16.06864674,1.088e-05,-1.088e-05,0.052,3.5347,4914.3,5.76,0.22,-0.49,600.0,30.75,161.9,1.0,q1_q17_dr25_tce,5031.0,4.485,0.848,286.99948,48.37579,15.841
11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.811,0,0,0,0,2.470613377,2.7e-08,-2.7e-08,0.818,1.74319,14230.9,13.04,0.51,-0.51,1339.0,761.46,4304.3,1.0,q1_q17_dr25_tce,5820.0,4.457,0.964,286.80847,49.316399,11.338
10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1.0,0,1,0,0,2.204735417,4.3e-08,-4.3e-08,0.224,3.88864,6674.7,16.1,0.81,-0.91,2048.0,4148.92,5945.9,1.0,q1_q17_dr25_tce,6440.0,4.019,1.952,292.24728,47.969521,10.463
6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,3.522498429,1.98e-07,-1.98e-07,0.631,3.19843,9145.7,14.59,1.11,-1.11,1521.0,1264.67,1741.5,1.0,q1_q17_dr25_tce,6225.0,4.169,1.451,281.28812,42.45108,13.563
10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.709214104,6.536e-06,-6.536e-06,0.051,2.6302,131.1,1.16,0.17,-0.12,1206.0,500.46,50.6,2.0,q1_q17_dr25_tce,5833.0,4.407,1.022,295.64871,48.49556,12.772
10419211,K00742.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,11.521446064,1.98e-06,-1.98e-06,2.483,3.6399,17984.3,150.51,39.76,-13.31,753.0,75.88,622.1,1.0,q1_q17_dr25_tce,5795.0,4.554,0.848,297.07993,47.597401,15.472
10464078,K00743.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,19.40393776,2.068e-05,-2.068e-05,0.804,12.2155,8918.7,7.18,0.76,-0.68,523.0,17.69,214.7,1.0,q1_q17_dr25_tce,5043.0,4.591,0.68,289.25821,47.635319,15.487
10480982,K00744.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,19.221388942,1.123e-06,-1.123e-06,1.065,4.79843,74284.0,49.29,16.03,-5.0,698.0,55.97,2317.0,1.0,q1_q17_dr25_tce,6117.0,4.496,0.947,295.81454,47.69035,15.341
10485250,K00745.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,16.46983774,1.361e-05,-1.361e-05,0.292,9.4378,10478.9,7.94,0.89,-0.89,595.0,29.61,303.4,1.0,q1_q17_dr25_tce,5152.0,4.517,0.786,297.15442,47.668701,15.788
10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,9.27358173,1.037e-05,-1.037e-05,0.387,3.2875,1288.3,2.47,0.2,-0.24,649.0,41.85,87.2,1.0,q1_q17_dr25_tce,4856.0,4.583,0.696,288.13824,47.724449,15.302
10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.02930329,5.509e-06,-5.509e-06,0.258,1.5821,1912.7,2.85,0.26,-0.15,678.0,50.04,65.4,1.0,q1_q17_dr25_tce,4537.0,4.648,0.672,283.71088,47.86327,15.784
10583180,K00748.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,2.696370652,7.534e-06,-7.534e-06,0.044,3.6129,397.9,1.58,0.13,-0.16,1066.0,305.34,48.2,1.0,q1_q17_dr25_tce,4989.0,4.504,0.819,283.76547,47.804298,15.269
10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.349553819,8.834e-06,-8.834e-06,0.092,3.0278,831.0,2.55,0.16,-0.24,919.0,168.99,60.6,1.0,q1_q17_dr25_tce,5185.0,4.44,0.91,292.37613,47.880989,15.416
10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,0.98,0,0,0,0,3.94105221,1.094e-05,-1.094e-05,0.226,2.5984,363.3,1.7,0.11,-0.16,1018.0,253.15,28.9,2.0,q1_q17_dr25_tce,5185.0,4.44,0.91,292.37613,47.880989,15.416
10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,0.971,0,0,0,0,8.10904807,6.787e-05,-6.787e-05,0.025,3.596,217.4,1.3,0.09,-0.12,800.0,97.03,14.1,3.0,q1_q17_dr25_tce,5185.0,4.44,0.91,292.37613,47.880989,15.416
2306756,K00113.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,386.6030528,0.0001369,-0.0001369,0.9765,6.8057,24926.6,41.5,1.68,-1.68,297.0,1.84,994.0,1.0,q1_q16_tce,5543.0,4.081,1.58,292.27374,37.671558,12.394
10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,21.67699193,7.01e-05,-7.01e-05,0.896,3.4555,857.2,2.95,0.12,-0.23,530.0,18.64,34.3,1.0,q1_q17_dr25_tce,4954.0,4.5,0.828,290.46512,47.92918,15.377
10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.99677968,1.389e-05,-1.389e-05,0.71,2.1717,934.7,2.78,0.52,-0.23,917.0,166.95,28.2,1.0,q1_q17_dr25_tce,5339.0,4.552,0.847,297.80826,47.946671,15.861
11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.280963604,6.141e-06,-6.141e-06,0.424,2.875,750.8,2.3,0.58,-0.19,1012.0,247.87,61.8,1.0,q1_q17_dr25_tce,5644.0,4.564,0.831,294.26581,49.314091,15.356
11463211,K00770.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,1.50635409,4.7e-07,-4.7e-07,0.86,1.5155,2211.7,4.53,1.01,-0.44,1452.0,1054.12,181.1,1.0,q1_q17_dr25_tce,5714.0,4.563,0.831,295.66522,49.351009,15.525
11465813,K00771.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,670.645531,0.001237,-0.001237,0.701,53.412,18090.6,14.14,2.13,-0.71,196.0,0.35,642.7,1.0,q1_q17_dr25_tce,5520.0,4.466,0.983,296.69861,49.316479,15.207
11493732,K00772.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,61.2563628,0.000156,-0.000156,1.248,7.633,5123.3,39.87,12.79,-5.48,505.0,15.43,85.3,1.0,q1_q17_dr25_tce,6144.0,4.402,1.091,283.72592,49.479519,15.25
11507101,K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,38.3775486,0.0001602,-0.0001602,0.468,5.588,724.2,2.82,0.37,-0.34,529.0,18.53,34.7,1.0,q1_q17_dr25_tce,5481.0,4.369,1.036,291.72202,49.480869,15.172
10910878,K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,0.992,0,0,0,0,41.19725502,9.345e-05,-9.345e-05,0.045,4.6297,2213.9,3.86,0.15,-0.33,439.0,8.76,51.2,2.0,q1_q17_dr25_tce,5031.0,4.485,0.848,286.99948,48.37579,15.841
